# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.modifiable.module.model.bridge.disposing.ms,1727728194182000000,1727728254155000000,0
jps.global.get.library.by.name.ms,1727728194182000000,1727728254155000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1727728194182000000,1727728254155000000,0
jps.facet.change.listener.init.bridge.ms,1727728194182000000,1727728254155000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1727728194182000000,1727728254155000000,0
jps.facet.change.listener.process.change.events.ms,1727728194182000000,1727728254155000000,0
workspaceModel.global.updates.ms,1727728194182000000,1727728254155000000,0
jps.reload.project.entities.ms,1727728194182000000,1727728254155000000,0
MappedFileStorage.storages,1727728194182000000,1727728254155000000,14
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1727728194182000000,1727728254155000000,287309824
FilePageCacheLockFree.totalBytesWritten,1727728194182000000,1727728254155000000,0
FilePageCacheLockFree.totalPagesHandedOver,1727728194182000000,1727728254155000000,0
FilePageCacheLockFree.nativeBytesInUse,1727728194182000000,1727728254155000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1727728194182000000,1727728254155000000,280
MappedFileStorage.totalBytesMapped,1727728194182000000,1727728254155000000,194248704
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1727728194182000000,1727728254155000000,0
FilePageCache.capacityInBytes,1727728194182000000,1727728254155000000,503316478
FilePageCacheLockFree.totalBytesRequested,1727728194182000000,1727728254155000000,0
MappedFileStorage.totalPagesMapped,1727728194182000000,1727728254155000000,14
FileChannelInterruptsRetryer.totalRetriedAttempts,1727728194182000000,1727728254155000000,0
StreamlinedBlobStorage.recordsDeleted,1727728194182000000,1727728254155000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1727728194182000000,1727728254155000000,62
FilePageCacheLockFree.totalPagesReadMs,1727728194182000000,1727728254155000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1727728194182000000,1727728254155000000,0
DirectByteBufferAllocator.hits,1727728194182000000,1727728254155000000,0
FilePageCacheLockFree.totalPagesReclaimed,1727728194182000000,1727728254155000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1727728194182000000,1727728254155000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1727728194182000000,1727728254155000000,0
